class,threshold,precision,recall,f1,support
anger,0.55,0.6574,0.6861,0.6714,1787
disgust,0.5,0.668,0.6899,0.6788,1219
fear,0.7,0.6726,0.7145,0.693,578
joy,0.4,0.8243,0.8448,0.8344,3699
sadness,0.65,0.6366,0.6749,0.6552,1412
surprise,0.55,0.4818,0.5463,0.512,800
neutral,0.4,0.5974,0.6856,0.6385,1883
