epoch,train_loss,val_loss,val_micro_f1,val_macro_f1,val_weighted_f1,lr
1,0.167632,0.10987,0.6709,0.6295,0.6702,1e-05
2,0.111431,0.109458,0.6796,0.6407,0.677,2e-05
3,0.087156,0.11261,0.6948,0.6526,0.696,1.9848077530122083e-05
4,0.06755,0.123164,0.6876,0.6485,0.6929,1.9396926207859085e-05
5,nan,nan,0.6891,0.6485,0.6934,1.866025403784439e-05
6,nan,0.110546,0.6115,0.5916,0.6089,1.766044443118978e-05
7,0.073771,0.115086,0.6826,0.6435,0.6889,1.6427876096865394e-05
8,0.077594,0.119408,0.6728,0.6358,0.6817,1.5000000000000002e-05
