epoch,train_loss,val_loss,val_micro_f1,val_macro_f1,val_weighted_f1,lr
1,0.167004,0.106582,0.6693,0.6345,0.6706,1e-05
2,0.103081,0.107019,0.6828,0.6449,0.6834,2e-05
3,0.07284,0.126906,0.6722,0.6343,0.6693,1.9848570736879012e-05
4,0.051509,nan,0.6898,0.6439,0.6888,1.9398221814692295e-05
5,0.042569,nan,0.6829,0.6432,0.6862,1.869135260649788e-05
6,0.042116,nan,0.6828,0.6434,0.6862,1.7727022987732772e-05
7,0.042517,nan,0.6828,0.6432,0.6861,1.6528207639328977e-05
