class,threshold,precision,recall,f1,support
anger,0.5,0.6842,0.6973,0.6907,1787
disgust,0.6,0.6845,0.6194,0.6503,1219
fear,0.65,0.7389,0.6903,0.7138,578
joy,0.45,0.8046,0.867,0.8346,3699
sadness,0.65,0.7352,0.5644,0.6386,1412
surprise,0.45,0.4733,0.6088,0.5325,800
neutral,0.35,0.5383,0.7881,0.6397,1883
